category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Skincare/Moisturizers/Decollete & Neck Creams,ELEVATE Firming & Lifting Neck Cream,Algenist,84.0,P449164,2 oz/ 60 mL,2282390,1067,4,2,https://www.sephora.com/product/elevate-firming-lifting-neck-cream-P449164?icid2=products
Skincare/Value & Gift Sets,Complete Eye Renewal Balm Duo,Algenist,68.0,P450568,na,2295889,526,na,na,https://www.sephora.com/product/complete-eye-renewal-balm-duo-P450568?icid2=products
Skincare/Moisturizers/Moisturizers,Overnight Restorative Cream,Algenist,94.0,P296415,2 oz/ 60 mL,1357847,8655,4.4242,231,https://www.sephora.com/product/overnight-restorative-cream-P296415?icid2=products
Skincare/Moisturizers/Moisturizers,GENIUS Collagen Calming Relief,Algenist,58.0,P453818,1.35 oz/ 40 mL,2282408,733,4.75,8,https://www.sephora.com/product/algenist-genius-collagen-calming-relief-P453818?icid2=products
Skincare/Treatments/Face Serums,Liquid Gold Exfoliating Treatment,Alpha-H,20.0,P440949,3.38 oz/ 100 mL,2206134,5845,4.6296,629,https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products
Skincare/Treatments/Facial Peels,Beauty Sleep Power Peel,Alpha-H,129.0,P442542,1.69 oz/ 50 mL,2206191,1108,5,3,https://www.sephora.com/product/beauty-sleep-power-peel-P442542?icid2=products
Skincare/Treatments/Face Serums,Vitamin B Serum,Alpha-H,70.0,P442539,0.85 oz/ 25 mL,2206225,990,5,3,https://www.sephora.com/product/vitamin-b-P442539?icid2=products
Skincare/Mini Size,Liquid Gold Mini,Alpha-H,20.0,P442548,1 oz/ 30 mL,2210466,3667,3.7333,15,https://www.sephora.com/product/liquid-gold-mini-P442548?icid2=products
Skincare/Moisturizers/Moisturizers,Essential Hydration Cream,Alpha-H,52.0,P442543,1.69 oz/ 50 mL,2206183,373,5,5,https://www.sephora.com/product/essential-hydration-cream-P442543?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,Liquid Gold Firming Eye Cream,Alpha-H,99.0,P442537,0.51 oz/ 15 mL,2206241,535,3.7778,9,https://www.sephora.com/product/liquid-gold-firming-eye-cream-P442537?icid2=products
Skincare/Cleansers/Exfoliators,Micro Cleanse Super Scrub,Alpha-H,50.0,P442544,3.38 oz/ 100 mL,2206175,415,5,1,https://www.sephora.com/product/micro-cleanse-super-scrub-P442544?icid2=products
Skincare/Masks/Face Masks,Liquid Gold Ultimate Perfecting Mask,Alpha-H,75.0,P442547,1.69 oz/ 50 mL,2206142,568,4.3333,6,https://www.sephora.com/product/liquid-gold-ultimate-perfecting-mask-P442547?icid2=products
Skincare/Cleansers/Face Wash & Cleansers,Balancing Cleanser,Alpha-H,44.0,P442546,6.25 oz/ 185 mL,2206159,341,4.8,10,https://www.sephora.com/product/balancing-cleanser-P442546?icid2=products
Skincare/Treatments/Face Serums,Instant Facial,Alpha-H,62.0,P442538,3.38 oz/ 100 mL,2206233,398,5,2,https://www.sephora.com/product/instant-facial-P442538?icid2=products
Skincare/Moisturizers/Moisturizers,Balancing Moisturizer & Gentle Exfoliant,Alpha-H,62.0,P442541,1.69 oz/ 50 mL,2206209,448,4.2,5,https://www.sephora.com/product/balancing-moisturizer-P442541?icid2=products
Skincare/Treatments/Face Serums,Vitamin A Serum,Alpha-H,70.0,P442540,0.85 oz/ 25 mL,2206217,787,5,3,https://www.sephora.com/product/vitamin-a-P442540?icid2=products
Hair/Shampoo & Conditioner/Shampoo,CAVIAR Anti-Aging® Replenishing Moisture Shampoo,ALTERNA Haircare,10.0,P269705,16.5 oz/ 488 mL,1772375,25756,4.2637,732,https://www.sephora.com/product/caviar-anti-aging-replenishing-moisture-shampoo-P269705?icid2=products
Hair/Shampoo & Conditioner/Conditioner,CAVIAR Anti-Aging® Replenishing Moisture Conditioner,ALTERNA Haircare,10.0,P269706,16.5 oz/ 488 mL,1772383,24419,4.3743,537,https://www.sephora.com/product/caviar-anti-aging-replenishing-moisture-conditioner-P269706?icid2=products
Hair/Value & Gift Sets,Caviar Anti-Aging® Restructuring Bond Repair Duo,ALTERNA Haircare,57.0,P449778,na,2285898,885,4,8,https://www.sephora.com/product/caviar-anti-aging-reg-restructuring-bond-repair-duo-P449778?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,CAVIAR Anti-Aging® Clinical Densifying Leave-In Root Treatment,ALTERNA Haircare,38.0,P309412,4.2 oz/ 125 mL,2140275,14632,3.8647,170,https://www.sephora.com/product/caviar-clinical-daily-root-scalp-stimulator-P309412?icid2=products
Hair/Hair Styling & Treatments/Hair Styling Products,CAVIAR Anti-Aging® Replenishing Moisture CC Cream,ALTERNA Haircare,42.0,P378716,5.1 oz/ 150 mL,1674308,54451,4.0372,1584,https://www.sephora.com/product/caviar-cc-cream-for-hair-10-in-1-complete-correction-P378716?icid2=products
Hair/Hair Styling & Treatments/Hair Styling Products,CAVIAR Anti-Aging® Multiplying Volume Styling Mist,ALTERNA Haircare,30.0,P405297,4.8 oz/ 142 mL,2140325,13664,4.2822,365,https://www.sephora.com/product/caviar-anti-aging-miracle-multiplying-volume-mist-P405297?icid2=products
Hair/Shampoo & Conditioner/Shampoo,CAVIAR Anti-Aging® Clinical Densifying Shampoo,ALTERNA Haircare,34.0,P309411,8.5 oz/ 250 mL,2140267,6612,4.2657,143,https://www.sephora.com/product/caviar-clinical-daily-detoxifying-shampoo-P309411?icid2=products
Hair/Hair Styling & Treatments/Hair Styling Products,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Heat Protection Spray,ALTERNA Haircare,32.0,P435932,4.2 oz/ 125 mL,2140226,4703,4.2887,97,https://www.sephora.com/product/caviar-anti-aging-restructuring-bond-repair-leave-in-heat-protection-spray-P435932?icid2=products
Hair/Shampoo & Conditioner/Conditioner,CAVIAR Anti-Aging® Restructuring Bond Repair Conditioner,ALTERNA Haircare,34.0,P435928,8.5 oz/ 250 mL,2140176,1758,4.1798,89,https://www.sephora.com/product/caviar-anti-aging-restructing-bond-repair-conditioner-P435928?icid2=products
Hair/Shampoo & Conditioner/Conditioner,CAVIAR Anti-Aging® Replenishing Moisture Priming Leave-In Conditioner,ALTERNA Haircare,32.0,P441826,5 oz/ 147 mL,2195907,1625,4.6304,184,https://www.sephora.com/product/caviar-anti-aging-replenishing-moisture-priming-leave-in-conditioner-P441826?icid2=products
Hair/Shampoo & Conditioner/Shampoo,CAVIAR Anti-Aging® Restructuring Bond Repair Shampoo,ALTERNA Haircare,34.0,P435927,8.5 oz/ 250 mL,2140143,1854,4.1489,94,https://www.sephora.com/product/caviar-anti-aging-restructuring-bond-repair-shampoo-P435927?icid2=products
Hair/Hair Styling & Treatments/Hair Spray,CAVIAR Anti-Aging® Working Hairspray,ALTERNA Haircare,8.0,P269714,7.4 oz/ 212 g,2195873,7449,4.4733,150,https://www.sephora.com/product/caviar-anti-aging-working-hair-spray-P269714?icid2=products
Hair/Hair Styling & Treatments/Hair Thinning & Hair Loss,High Tide Deep Waver,amika,120.0,P442295,na,2190171,10321,4.3636,66,https://www.sephora.com/product/high-tide-deep-waver-P442295?icid2=products
Hair/Hair Tools/Hair Straighteners & Flat Irons,Polished Perfection Mini Straightening Brush,amika,28.0,P449132,na,2280469,5050,3.45,40,https://www.sephora.com/product/polished-perfection-mini-straightening-brush-P449132?icid2=products
Hair/Shampoo & Conditioner/Dry Shampoo,Perk Up Dry Shampoo,amika,10.0,P393281,5.3 oz/ 153 g,2035046,37898,4.351,1040,https://www.sephora.com/product/perk-up-dry-shampoo-P393281?icid2=products
Hair/Shampoo & Conditioner/Shampoo,Bust Your Brass Cool Blonde Shampoo,amika,12.0,P419705,8 oz/ 236 mL,2034965,27728,4.3732,343,https://www.sephora.com/product/bust-your-brass-cool-blonde-shampoo-P419705?icid2=products
Hair/Shampoo & Conditioner/Conditioner,Bust Your Brass Cool Blonde Conditioner,amika,12.0,P419706,8.45 oz/ 250 mL,2034957,19213,4.457,151,https://www.sephora.com/product/bust-your-brass-cool-blonde-conditioner-P419706?icid2=products
Hair/Hair Styling & Treatments/Hair Masks,Soulfood Nourishing Mask,amika,12.0,P404916,8.5 oz/ 250 mL,2035079,44829,4.4541,1068,https://www.sephora.com/product/nourishing-mask-P404916?icid2=products
Hair/Hair Tools/Hair Straighteners & Flat Irons,Polished Perfection Straightening Brush 2.0,amika,120.0,P441833,na,2190122,7866,4.0917,109,https://www.sephora.com/product/ired-polished-perfection-straightening-brush-P441833?icid2=products
Hair/Hair Tools/Hair Straighteners & Flat Irons,Blowout Babe Thermal Brush,amika,100.0,P396012,na,1703560,13520,3.913,184,https://www.sephora.com/product/blowout-babe-thermal-brush-P396012?icid2=products
Hair/Hair Styling & Treatments/Hair Primers,The Wizard Detangling Primer,amika,25.0,P404914,4 oz/ 118 mL,2035129,18191,4.381,231,https://www.sephora.com/product/the-wizard-multi-benefit-primer-P404914?icid2=products
Hair/Hair Tools/Hair Dryers,The CEO 360° Lightweight Powerhouse Hair Dryer,amika,200.0,P449573,na,2190262,595,4.9286,14,https://www.sephora.com/product/the-ceo-360-lightweight-powerhouse-hair-dryer-P449573?icid2=products
Hair/Shampoo & Conditioner/Shampoo,Reset Clarifying Gel Shampoo,amika,25.0,P453255,6.7 oz/ 200 mL,2280303,1199,5,6,https://www.sephora.com/product/amika-reset-clarifying-gel-shampoo-P453255?icid2=products
Hair/Hair Styling & Treatments/Hair Masks,The Kure Intense Repair Mask,amika,14.0,P429596,8.5 oz/ 250 mL,2035087,10936,4.5733,75,https://www.sephora.com/product/the-kure-intense-repair-mask-P429596?icid2=products
Makeup/Face/BB & CC Cream,Color Control Cushion Compact Broad Spectrum SPF 50+,AMOREPACIFIC,60.0,P378121,1.05 oz,1496488,29810,4.0468,1068,https://www.sephora.com/product/color-control-cushion-compact-broad-spectrum-spf-50-P378121?icid2=products
Skincare/Treatments/Facial Peels,Treatment Enzyme Peel Cleansing Powder,AMOREPACIFIC,60.0,P232931,1.76 oz/ 50 g,2187698,53103,4.6361,1426,https://www.sephora.com/product/treatment-enzyme-peel-P232931?icid2=products
Skincare/Moisturizers/Mists & Essences,Vintage Single Extract Essence,AMOREPACIFIC,145.0,P422238,4.05 oz/ 120 mL,1984715,14178,4.4558,147,https://www.sephora.com/product/vintage-single-extract-essence-P422238?icid2=products
Skincare/Cleansers/Face Wash & Cleansers,Treatment Cleansing Foam,AMOREPACIFIC,50.0,P232930,4.1 oz/ 120 mL,1161686,13886,4.4667,435,https://www.sephora.com/product/treatment-cleansing-foam-P232930?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,TIME RESPONSE Eye Reserve Crème,AMOREPACIFIC,260.0,P436659,0.5 oz/ 15 mL,2150233,2120,4.6154,13,https://www.sephora.com/product/time-response-eye-reserve-creme-P436659?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,MOISTURE BOUND Rejuvenating Eye Treatment Gel,AMOREPACIFIC,85.0,P282612,0.5 oz/ 15 mL,1328038,9534,4.2121,264,https://www.sephora.com/product/moisture-bound-rejuvenating-eye-treatment-gel-P282612?icid2=products
Skincare/Value & Gift Sets,Every Day Essentials,AMOREPACIFIC,65.0,P451265,na,2280162,1844,2.8,5,https://www.sephora.com/product/every-day-essentials-P451265?icid2=products
Skincare/Moisturizers/Moisturizers,MOISTURE BOUND Rejuvenating Crème,AMOREPACIFIC,150.0,P282613,1.7 oz/ 50 mL,1328046,5398,4.0761,184,https://www.sephora.com/product/moisture-bound-rejuvenating-creme-P282613?icid2=products
Skincare/Value & Gift Sets,Meet Your Everyday Besties,AMOREPACIFIC,78.0,P450926,na,2280170,1761,5,1,https://www.sephora.com/product/meet-your-everyday-besties-P450926?icid2=products
