category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Fragrance/Men/Cologne,Sauvage Eau de Parfum,Dior,95.0,P428500,2.0 oz/ 60 mL,2038123,7822,4.6667,69,https://www.sephora.com/product/sauvage-eau-de-parfum-P428500?icid2=products
Makeup/Lip/Lipstick,Rouge Dior Lipstick,Dior,37.0,P411036,0.12 oz/ 3.4 g,1853548,70000,4.2965,290,https://www.sephora.com/product/rouge-dior-lipstick-P411036?icid2=products
Makeup/Face/Foundation,BACKSTAGE Face & Body Foundation,Dior,40.0,P432500,1.6 oz/ 50 mL,2070571,107128,4.3064,1844,https://www.sephora.com/product/backstage-face-body-foundation-P432500?icid2=products
Fragrance/Men/Cologne,Sauvage Eau de Toilette,Dior,77.0,P400057,3.4 oz/ 100 mL,1739325,18075,4.7411,336,https://www.sephora.com/product/sauvage-P400057?skuId=1739317&icid2=products
Fragrance/Women/Perfume,Miss Dior Blooming Bouquet,Dior,38.0,P385477,1.7 oz/ 50 mL,1599877,43111,4.1659,615,https://www.sephora.com/product/miss-dior-blooming-bouquet-P385477?icid2=products
Makeup/Eye/Mascara,Diorshow Mascara,Dior,29.5,P396240,0.33 oz/ 10 mL,1689744,44719,3.8062,1620,https://www.sephora.com/product/diorshow-mascara-P396240?icid2=products
Makeup/Lip/Lip Gloss,Dior Addict Lip Maximizer Plumping Gloss,Dior,34.0,P186805,0.2 oz/ 6 mL,2171668,109822,4.3354,1461,https://www.sephora.com/product/dior-addict-lip-maximizer-plumping-gloss-P186805?icid2=products
Makeup/Face/Foundation,Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,Dior,52.0,P439940,1 oz/ 30 mL,2178630,23344,4.3435,949,https://www.sephora.com/product/forever-matte-foundation-P439940?icid2=products
Skincare/Wellness/Beauty Supplements,Liquid Multi-Vitamin Supplement,DL.MD,45.0,P447205,6.7 oz/ 200 mL,2260198,1410,5,14,https://www.sephora.com/product/liquid-multi-vitamin-supplement-P447205?icid2=products
Fragrance/Women/Perfume,Light Blue Eau de Toilette,DOLCE&GABBANA,29.0,P12420,3.3 oz/ 100 mL,563338,76260,4.584,2820,https://www.sephora.com/product/light-blue-P12420?icid2=products
Fragrance/Men/Cologne,Light Blue Pour Homme Eau de Toilette,DOLCE&GABBANA,56.0,P186402,4.2 oz/ 125 mL,1019991,8131,4.7546,379,https://www.sephora.com/product/light-blue-pour-homme-P186402?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Light Blue Mini Duo Set,DOLCE&GABBANA,20.0,P435721,2 x 0.15 oz/ 4.5 mL,2145902,9192,4.3846,26,https://www.sephora.com/product/light-blue-mini-duo-set-P435721?icid2=products
Fragrance/Value & Gift Sets/Cologne Gift Sets,K by Dolce & Gabbana Gift Set,DOLCE&GABBANA,94.0,P452823,2 x 3.3 oz/ 100 mL,2249159,308,na,na,https://www.sephora.com/product/dolce-gabbana-k-by-dolce-gabbana-gift-set-P452823?icid2=products
Fragrance/Men/Cologne,The One For Men,DOLCE&GABBANA,70.0,P224300,5.1 oz/ 150 mL,1527332,5199,4.7514,358,https://www.sephora.com/product/the-one-for-men-P224300?icid2=products
Men,K by Dolce & Gabbana,DOLCE&GABBANA,72.0,P449367,1.6 oz/ 50 mL,2249084,1056,5,3,https://www.sephora.com/product/k-by-dolce-gabbana-P449367?skuId=2249092&icid2=products
Fragrance/Women/Perfume,3 L’IMPERATRICE Eau de Toilette,DOLCE&GABBANA,80.0,P245901,3.3 oz/ 100 mL,1209907,17503,4.6142,832,https://www.sephora.com/product/3-l-imperatrice-P245901?icid2=products
Fragrance/Women/Perfume,Dolce Garden,DOLCE&GABBANA,29.0,P429971,2.5 oz/ 75 mL,2052330,8057,4.7273,99,https://www.sephora.com/product/dolce-garden-P429971?icid2=products
Fragrance/Women/Perfume,Light Blue Eau Intense,DOLCE&GABBANA,64.0,P418849,3.3 oz/ 100 mL,1942812,12884,4.5,118,https://www.sephora.com/product/light-blue-pour-femme-eau-intense-P418849?icid2=products
Fragrance/Women/Perfume,The One,DOLCE&GABBANA,76.0,P195321,2.5 oz/ 75 mL,981530,20068,4.594,840,https://www.sephora.com/product/the-one-P195321?icid2=products
Fragrance/Women/Perfume,Dolce Eau de Parfum,DOLCE&GABBANA,76.0,P385301,2.5 oz/ 75 mL,1601301,15790,4.3198,369,https://www.sephora.com/product/dolce-P385301?icid2=products
Fragrance/Women/Perfume,The Only One Eau de Parfum,DOLCE&GABBANA,29.0,P437947,1.6 oz/ 50 mL,2155265,6390,4.4167,72,https://www.sephora.com/product/the-only-one-eau-de-parfum-P437947?icid2=products
Makeup/Eye/Eye Palettes,Latte Eyeshadow Palette,DOMINIQUE COSMETICS,42.0,P434458,na,2130326,14024,4.8072,166,https://www.sephora.com/product/latte-eyeshadow-palette-P434458?icid2=products
Makeup/Eye/Eye Palettes,Berries & Cream Eyeshadow Palette,DOMINIQUE COSMETICS,44.0,P439945,na,2157642,8040,4.6542,107,https://www.sephora.com/product/berries-cream-eyeshadow-palette-P439945?icid2=products
Makeup/Eye/Eye Palettes,Celestial Storm Palette,DOMINIQUE COSMETICS,44.0,P450513,na,2287977,2899,3.5833,24,https://www.sephora.com/product/celestial-storm-palette-P450513?icid2=products
Makeup/Value & Gift Sets,Sweater Weather Set,DOMINIQUE COSMETICS,29.0,P452427,na,2287985,1466,4.7,10,https://www.sephora.com/product/sweater-weather-set-P452427?icid2=products
Makeup/Face/Highlighter,Prisma Glow Highlight Palette,DOMINIQUE COSMETICS,36.0,P446331,na,2231348,1915,4.2,15,https://www.sephora.com/product/prisma-glow-highlight-palette-P446331?icid2=products
Makeup/Lip/Lip Gloss,Lemonade Lip Gloss,DOMINIQUE COSMETICS,17.0,P434564, - warm beige,2130151,11170,4.381,84,https://www.sephora.com/product/lemonade-lip-gloss-P434564?icid2=products
Makeup/Eye/Eye Palettes,Rustic Glam Eyeshadow Palette,DOMINIQUE COSMETICS,44.0,P446603,12 x 0.5 oz/ 1.4 g,2225639,4590,4.18,50,https://www.sephora.com/product/rustic-glam-eyeshadow-palette-P446603?icid2=products
Makeup/Lip/Liquid Lipstick,Berries & Cream Liquid Lipstick,DOMINIQUE COSMETICS,18.0,P439946, - vibrant pink,2157634,2051,2.9333,15,https://www.sephora.com/product/liquid-lipstick-P439946?icid2=products
Fragrance/Women/Bath & Shower,Cashmere Mist Deodorant,Donna Karan,27.0,P380541,1.7 oz/ 50 g,592527,18127,4.5174,746,https://www.sephora.com/product/cashmere-mist-deodorant-P380541?icid2=products
Fragrance/Women/Perfume,Cashmere Mist Eau de Parfum,Donna Karan,70.0,P41391,1.7 oz/ 50 mL,860940,6423,4.5574,235,https://www.sephora.com/product/cashmere-mist-eau-de-parfum-P41391?icid2=products
Fragrance/Women/Perfume,Cashmere Mist Eau de Toilette,Donna Karan,80.0,P41378,3.4 oz/ 100 mL,83410,3860,4.5685,394,https://www.sephora.com/product/cashmere-mist-P41378?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Cashmere Mist Body Gift Set,Donna Karan,32.0,P446616,na,2266393,655,na,na,https://www.sephora.com/product/cashmere-mist-body-gift-set-P446616?icid2=products
Fragrance/Women/Rollerballs & Travel Size,Cashmere Mist Travel Spray,Donna Karan,30.0,P440445,0.27 oz/ 7 mL,2189009,749,5,2,https://www.sephora.com/product/cashmere-mist-travel-spray-P440445?icid2=products
Fragrance/Women/Lotions & Oils,Cashmere Mist Body Creme ,Donna Karan,58.0,P380539,6.7 oz/ 200 mL,592501,891,4.8333,6,https://www.sephora.com/product/cashmere-mist-body-creme-P380539?icid2=products
Fragrance/Women/Lotions & Oils,Cashmere Mist Body Lotion,Donna Karan,56.0,P380540,6.7 oz/ 200 mL,83360,1097,4.9091,11,https://www.sephora.com/product/cashmere-mist-body-lotion-P380540?icid2=products
