category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Fragrance/Value & Gift Sets/Perfume Gift Sets,Chloé Eau de Parfum Gift Set,Chloé,115.0,P449748,na,2253912,774,na,na,https://www.sephora.com/product/chloe-eau-de-parfum-gift-set-P449748?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Chloé Eau de Parfum & Nomade Eau de Parfum Mini Set,Chloé,29.0,P452373,na,2249258,3004,2.8333,6,https://www.sephora.com/product/chloe-chloe-eau-de-parfum-nomade-eau-de-parfum-mini-set-P452373?icid2=products
Fragrance/Women/Rollerballs & Travel Size,Chloé Rollerball,Chloé,32.0,P377459,.33oz /10ml,1284025,0,4.6047,43,https://www.sephora.com/product/chlo-rollerball-P377459?icid2=products
Fragrance/Women/Perfume,Chloe L'Eau,Chloé,68.0,P449749,3.4 oz/ 100 mL,2249241,1027,4.0949,316,https://www.sephora.com/product/chloe-l-eau-P449749?icid2=products
Fragrance/Women/Perfume,Fleur de Parfum,Chloé,30.0,P412367,2.5 oz/ 74 mL,1854595,6353,4.1803,61,https://www.sephora.com/product/fleur-de-parfum-P412367?icid2=products
Fragrance/Women/Rollerballs & Travel Size,Nomade Eau de Parfum Travel Spray,Chloé,32.0,P428450,0.33 oz/ 10 mL,2037406,7709,4.7763,76,https://www.sephora.com/product/nomade-eau-de-parfum-travel-spray-P428450?icid2=products
Fragrance/Women/Rollerballs & Travel Size,Roses De Chloé Rollerball,Chloé,30.0,P400324,0.33 oz/ 9.8 mL,1751007,10106,4.593,86,https://www.sephora.com/product/roses-de-chloe-rollerball-P400324?icid2=products
Fragrance/Women/Perfume,Chloe Nomade Eau de Toilette,Chloé,68.0,P441205,1.7oz/50mL,2176154,737,4.1707,82,https://www.sephora.com/product/chloe-nomade-eau-de-toilette-P441205?icid2=products
Makeup/Lip/Lipstick,Velvet Matte Lip Colour,Christian Louboutin,90.0,P400560,0.134 oz,1750165,39619,4.3191,94,https://www.sephora.com/product/velvet-matte-lip-colour-P400560?icid2=products
Makeup/Lip/Lipstick,Silky Satin Lip Colour ,Christian Louboutin,90.0,P400556,0.13 oz/ 3.7 g,2149193,33122,4.2785,79,https://www.sephora.com/product/silky-satin-lip-colour-P400556?icid2=products
Makeup/Lip/Lipstick,Sheer Voile Lip Colour,Christian Louboutin,90.0,P400558,0.123 oz,1750066,11698,4.32,25,https://www.sephora.com/product/sheer-voile-lip-colour-P400558?skuId=1750074&icid2=products
Makeup/Lip/Lip Gloss,Loubilaque Lip Lacquer,Christian Louboutin,85.0,P409757,Bengali,1842277,15258,3.561,41,https://www.sephora.com/product/loubilac-lip-lacquer-P409757?skuId=1842269&icid2=products
Makeup/Lip/Lip Gloss,Loubilaque Lip Gloss,Christian Louboutin,85.0,P432856, - hologram pink,2111227,5332,4.3333,12,https://www.sephora.com/product/loubilaque-lip-gloss-P432856?skuId=2111235&icid2=products
Makeup/Eye/Mascara,Lash Amplifying Lacquer,Christian Louboutin,70.0,P417857,0.23 oz/ 7 mL,1936814,3694,4.3043,23,https://www.sephora.com/product/lash-amplifying-lacquer-P417857?icid2=products
Makeup/Nail,Rouge Louboutin,Christian Louboutin,50.0,P388556,0.4 oz,1652155,10786,4.1875,144,https://www.sephora.com/product/rouge-louboutin-P388556?icid2=products
Makeup/Eye/Eyeshadow,Tape A l'Oeil- Metallic Eye Colour,Christian Louboutin,50.0,P437446,0.23 oz/ 7 mL,2157147,1816,3.4286,7,https://www.sephora.com/product/tape-l-oeil-metallic-eye-colour-P437446?icid2=products
Makeup/Lip/Lip Gloss,"Loubibelle, Lip Beauty Oil",Christian Louboutin,70.0,P429014, - red,2058204,2627,4,8,https://www.sephora.com/product/loubibelle-lip-beauty-oil-P429014?icid2=products
Makeup/Eye/Eyeshadow,Tape A l'Oeil- Matte Nude Eye Colour,Christian Louboutin,50.0,P437445,0.23 oz/ 7 mL,2157121,3059,4.4286,7,https://www.sephora.com/product/tape-l-oeil-matte-nude-eye-colour-P437445?icid2=products
