product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
Eyeonix Eye Massaging Beauty Tool,Nurse Jamie,Skincare/Wellness/Facial Rollers,49.0,na,3638,3.4286,14,Skincare,Wellness,Facial Rollers,,,
Beauty Stamp Micro-Exfoliation Tool,Nurse Jamie,Skincare/High Tech Tools/Anti-Aging,50.0,na,4621,3.1818,11,Skincare,High Tech Tools,Anti-Aging,,,
Neck & Décolléte Wrap Skin Perfecting Silicone Treatment,Nurse Jamie,Skincare/Moisturizers/Decollete & Neck Creams,28.0,na,1662,2.0,1,Skincare,Moisturizers,Decollete & Neck Creams,,,
Face Wrap Skin Perfecting Silicone Mask,Nurse Jamie,Skincare/High Tech Tools/Anti-Aging,30.0,na,2116,3.875,8,Skincare,High Tech Tools,Anti-Aging,,,
Triangle Facial Beauty Tool,Nurse Jamie,Skincare/High Tech Tools/Anti-Aging,159.0,na,1378,2.3333,6,Skincare,High Tech Tools,Anti-Aging,,,
Know Knott™ Conditioning Detangler,O&M,Hair/Shampoo & Conditioner/Leave-In Conditioner,30.0,8.4 oz/ 250 mL,1843,4.2143,14,Hair,Shampoo & Conditioner,Leave-In Conditioner,8.4,250,
The Power Base™ Protein Mask,O&M,Hair/Hair Styling & Treatments/Hair Masks,36.0,8.4 oz/ 250 mL,3856,4.3571,14,Hair,Hair Styling & Treatments,Hair Masks,8.4,250,
Hydrate & Conquer™ Conditioner,O&M,Hair/Shampoo & Conditioner/Conditioner,34.0,11.8 oz/ 350 mL,429,3.5,8,Hair,Shampoo & Conditioner,Conditioner,1.8,350,
Project Sukuroi™ Golden Smoothing Balm,O&M,Hair/Hair Styling & Treatments/Hair Styling Products,50.0,3.5 oz/ 100 g,1042,5.0,8,Hair,Hair Styling & Treatments,Hair Styling Products,3.5,,100
Surf Bomb™ Sea Spray,O&M,Hair/Hair Styling & Treatments/Hair Styling Products,28.0,5 oz/ 150 mL,930,4.6,5,Hair,Hair Styling & Treatments,Hair Styling Products,5,150,
